Date Published,Rating,Max Rating,Author,Country,Title,Review Body,Type Of Traveller,Seat Type,Date Flown,Aircraft,Route,From,Via,To,Verified,Recommended
2024-01-18,10.0,10.0,David Owen,Australia,"""genuine warmth and hospitality""","  I have flown with Qatar in economy, business and in first class. I fly two or three times a year with them. I recently had the privilege of experiencing the epitome of airborne luxury aboard the world's best airline, and I must say that the exceptional service provided by the cabin crew left an indelible mark on my travel experience. From the moment I stepped on board until the final descent, every aspect of the journey was a testament to the dedication and professionalism of the airline's remarkable cabin crew. Beyond the technical aspects of the service, what truly set this airline's cabin crew apart was their genuine warmth and hospitality. It was evident that they enjoyed their work and took pride in creating a positive and enjoyable atmosphere for passengers. Whether it was a friendly conversation, a reassuring smile, or going the extra mile to accommodate special requests, the cabin crew consistently exceeded expectations. In conclusion, the world's best airline undoubtedly boasts the world's best cabin crew. Their commitment to excellence, attention to detail, and genuine hospitality set a standard that other airlines would do well to emulate. Traveling with this airline is not just a journey; it's an unforgettable experience that leaves passengers feeling pampered, valued, and eager to embark on their next adventure with the finest cabin crew in the skies.",Solo Leisure,First Class,January 2024,A380,London to Perth via Doha,London,Doha,Perth,1.0,Yes
2024-01-17,8.0,10.0,G Meares,Lebanon,"""Four excellent flights""","  Four excellent flights, including two ultra-long haul flights from Doha-Auckland return, and all were excellent. Cabins were clean, comfortable and spacious. Meals were decent - maybe a bit on the small side, but good quality. IFE was also good, plenty of choices there. What really stood out though was the service - staff were almost consistently friendly, polite, attentive and caring. I had a couple of crew who really looked out for me, introducing themselves, offering regular drink top-ups (decent selection of wines were offered) and priority meal selection as a silver FF member. I find this impressive for a low silver status. Great flights!",Solo Leisure,Economy Class,January 2024,A350-1000,Beirut to Auckland via Doha,Beirut,Doha,Auckland,1.0,Yes
2024-01-13,10.0,10.0,Rajan Parrikar,Iceland,“Flawless onboard service”, Doha to Goa in Business Class on Boeing 787-8. This 3 hours flight was on time. Business Class seat configuration was the older product (no Qsuite) but very comfortable nevertheless. Flawless onboard service that we have come to expect from Qatar. Summary: it doesn't get better than Qatar Airways in Business Class.,Couple Leisure,Business Class,January 2024,Boeing 787-8,Doha to Goa,Doha,Direct,Goa,1.0,Yes
2024-01-13,10.0,10.0,Rajan Parrikar,Iceland,“lived up to its reputation”," Copenhagen to Doha in Business Class on a Boeing 787-9. Qatar Airways lived up to its reputation as the finest Business Class product. On this 787-9, the seats were the older type (not the Qsuite) but very comfortable nevertheless. Onboard service was flawless. Qatar serves meals on demand in Business Class. If there is one point of criticism it is that the food served could do with more attention to both the quality and care in preparation. WiFi worked very well throughout the flight. All in all, a relaxing, comfortable flight.",Couple Leisure,Business Class,January 2024,Boeing 787-9,Copenhagen to Doha,Copenhagen,Direct,Doha,1.0,Yes
2024-01-12,8.0,10.0,F Carsen,United States,"""Flight to Doha was good""","  Flight to Doha was good. Qatar ground crew sent a message to arrive at the airport 4 hours before departure because of possible delays due construction. We arrived at the airport as instructed but there were no one at the check in counters. The counters were opened 3 hours before departure as usual. When I asked the Qatar agent on why we had to arrive 4 hours before departure, she didn’t know why and she opened the counters 3 hours before departure as scheduled. We requested for a wheel chair for 1 passenger when we booked the tickets, but we had to go back to the agent to order a wheelchair. We waited at a designated spot but no one came. We went through security to the lounge where they promptly got us a wheelchair to get to the gate.",Couple Leisure,Business Class,January 2024,A350,Dallas Ft Worth to Doha,Dallas/Fort Worth,Direct,Doha,1.0,Yes
2024-01-11,8.0,10.0,Theo Anastasakis,Greece,"""extraordinary efficiency and professionality""","  We booked and confirmed our tickets to India 9 months before the date of departure. (ATH-DOH, DOH-CCU). At some point and close to departure date, we received an email from Qatar informing us that our flights were cancelled, and we should either ask for refund or reschedule. Our already booked program and domestic flights did not allow us to cancel and rebook new flights. A very polite Qatar staff assisted us over the phone to reschedule by adding an extra flight and 6-7 hrs additional traveling time to our outgoing flights (ATH-SAW-DOH-CCU) Waiting time in Doha for our connection was 50 min on both legs outgoing and returning. On both trips upon arrival at DOH , there was a lengthy bus ride from the plane to the terminal of almost 15-20 min which was followed by a hurried security check and then a sprint to the gate to catch the next flight, which we boarded last, to realize that our initially booked and prepaid seats  were messed up. The issue was smoothly and quickly resolved by the very polite and mindful cabin manager on QR 203 on Dec 17th. In any case, our mixed feelings from our eventful Qatar booking experience, were all surpassed by the positive impression of the cabin crew's extraordinary efficiency and professionality. All Qatar accolades go to the hard working cabin crew. I also wish to highlight the better passenger experience that the A350 offers compared to the one on B787, which felt very cramped.",Couple Leisure,Economy Class,December 2023,A350 / Boeing 787,Athens to Kolkata via Doha,Athens,Doha,Kolkata,1.0,Yes
2024-01-07,5.0,10.0,Michael Schade,Germany,"""great catering and service""","  Check in at DUS airport well organized and efficient. DUS third party lounge was nothing to shout about. Departure delayed by about an hour due to late arrival of incoming aircraft, no prior information given, the first info was given 10 min after the proposed boarding time. SMS from Qatar was received while on the plane already. Boarding rather chaotic despite 8 gate agents. But part of the boarding issues could be contributed to the increasingly impatient crowd. Flight was good with great catering and service. The usual remote stand arrival in Doha with longish bus transfer. Service at lounge was good. Departure gate for the next flight very crowded and also chaotic and unorganized. The poor sole agent at the door had to endure a lot of shouting and pushing; the zone system simply does not work at Doha airport. Flight itself was full and unremarkable, with average catering and service. WiFi didn’t work again throughout the entire flight. Arrival at &BKK also at a remote stand and long bus transfer.",Business,Business Class,December 2023,Boeing 789 / 773,Düsseldorf to Bangkok via Doha,Düsseldorf,Doha,Bangkok,1.0,no
2024-01-05,1.0,10.0,Francesco Leonardi,Switzerland,"""attempts to obtain a partial refund were ignored""","  I booked a round-trip flight from MXP to BKK via DOH that, on paper, should have been very comfortable: 1-2-1 configuration on the first leg and Qsuites on the second leg. The day before travelling I received the email from Qatar Airways, informing me of the change of aircraft. I understand that, in certain circumstances, airlines have to change aircrafts for operational reasons from time to time, but when this happens and ends up in a sort of downgrade, it becomes quite annoying. The DOH-BKK flight, originally equipped with Qsuites, was replaced by an old 777 with a 2-2-2 configuration. I had to sleep on a very uncomfortable angled bed. Qatar Airways, in the email sent to me the day before the departure, wanted to emphasize two things:  If I wanted to keep the Qsuites, I could change dates for free; I obviously contacted them immediately and they proposed an alternative to me, but they told me that I would have to pay another 2700 EUR. I don't quite understand the meaning of free in it. Alternatively, despite the lack of Qsuites, I could still take advantage of all the luxury and comfort of Qatar Airways. My attempts to obtain a partial refund, even in the form of Avios were completely ignored.",Solo Leisure,Business Class,December 2023,Boeing 777-300,Doha to Bangkok,Doha,Direct,Bangkok,1.0,no
2023-12-20,9.0,10.0,Michael Schade,Germany,"""crew was enthusiastic and helpful""","  Well coordinated airbridge (a rarity at Doha airport nowadays) boarding. Newish B789 with comfortable seats, large and responsive IFE screens and decent food. Cabin crew was enthusiastic and helpful. Flight arrived ahead of time.",Solo Leisure,Economy Class,December 2023,Boeing 787-9,Doha to Frankfurt,Doha,Direct,Frankfurt,1.0,Yes
2023-12-20,6.0,10.0,M Haeles,Belgium,"""seats narrow and uncomfortable""","  Flight on time, remote stand bus transfer in BKK, something I have not seen in BKK for many years for a full service carrier and in Doha. The B773 was rather old, cold draft from exit door, my touch screen not well responding, food ok, seats narrow and uncomfortable. This was a very average flight.",Couple Leisure,Economy Class,December 2023,Boeing 773,Bangkok to Doha,Bangkok,Direct,Doha,1.0,no
2023-12-19,9.0,10.0,Lyn Smithies,Australia,"""Service was excellent""",  We had seats on top level of A380. Two seats only together. Service was excellent and food and beverages also good. All in all a good flight and would fly with Qatar again.,Couple Leisure,Economy Class,November 2023,A380,Doha to Sydney,Doha,Direct,Sydney,0.0,Yes
2023-12-17,10.0,10.0,Beata Assaad,Kuwait,"""Overall excellent experience""","  Overall excellent experience, service, punctuality, onboarding experience. Excellent Variety of Food and beverages. Number one airline in all aspects.",Solo Leisure,Economy Class,December 2023,Boeing 787,Kuwait to Warsaw via Doha,Kuwait,Doha,Warsaw,1.0,Yes
2023-12-11,10.0,10.0,Dev Raghav Handa,United Arab Emirates,“a level of service second to none”,"  Qatar Airways provides (and has been providing) a level of service second to none. Be it the aircraft, the airport, the cabin crew, the ground staff or anyone bump into, it’s a joy ride. Having flown to almost every country and tried over 150 airlines, it wasn’t difficult to rate Qatar. Now I’m flying back to Dubai and an almost 7 hour layover at Doha intl. seems less given the past wonderful experience. Keep it up Qatar!",Business,Business Class,November 2023,A350,Dubai to Delhi via Doha,Dubai,Doha,New Delhi,0.0,Yes
2023-12-09,9.0,10.0,Craig Cutts,United Kingdom,"""I will be using Qatar Airways in future""","  After some pretty poor experiences this year using my preferred airline Singapore Airlines, I decided to try Qatar again after 6 years. Check in at Heathrow T4 quick and polite as was the boarding process. On board I found the A380 upper deck very good for economy, service from the crew was very good as was the food. Transfer in Doha quick and easy boarding for KUL done well and again seating felt roomy and comfortable even with the 3-4-3 seating on the 777, arrived KL a little early good flights. Returning check in polite unfortunately KLIA is a dreadful airport, possibly the worst in Asia with poor and uninterested staff along with poor facilities. That apart despite a 2 hour delay the flight to Doha was again pretty good, quick transfer in Doha all fine and the final flight to London was very nice. Bags recovered quickly, I will be using Qatar Airways in future.",Couple Leisure,Economy Class,December 2023,A380 / 777-300ER / A350,London to Kuala Lumpur via Doha,London,Doha,Kuala Lumpur,1.0,Yes
2023-12-04,9.0,10.0,Cesare Recalcati,Italy,"""Very nice flights with Qatar Airways""","  Very nice flights with Qatar Airways. Aircraft clean and well maintained, professional cabin crew, they never disappoint. The only thing to complain is that I passed through Hamad International several times and they never used fingers but only buses. This implies long wait and traffic jam due to the high number of buses. I imagine this is due to the strong increase of Qatar Airways destinations, but in any case it's a pity for such a beautiful airline! All in all, very good work Qatar.",Couple Leisure,Economy Class,December 2023,A350 / Boeing 777,Milan to Salalah via Doha,Milan,Doha,Salalah,1.0,Yes
2023-11-29,6.0,10.0,C Dawson,Australia,“seats were really uncomfortable”," Overall, it was okay. The food was pretty good, leg room was acceptable (wouldn't say the best though), customer service was good. The seats however, were really uncomfortable, they were very thin and had next to no padding which on a 14 hr flight, followed by a 7hr flight was brutal. We couldn't wait to get off. After this we flew, Cathay Pacific, ANA, and Jetstar, I've also flown Emirates, Air NZ, Qantas, LATAM, and Virgin, so I have a lot to compare it to. I'd only fly with them again if they were significantly cheaper then competitors.",Couple Leisure,Economy Class,October 2023,Boeing 777-300ER,Brisbane to Amsterdam via Doha,Brisbane,Doha,Amsterdam,1.0,no
2023-11-19,3.0,10.0,James Goldie,United Arab Emirates,"""The food was sub par""","  From an epic experience to merely average. Have flown with QR many times long haul and Q suite is epic and unbeatable. However 4 recent trips to Istanbul in business class including the most recent reduce it to very average. The plane is a leased ex Cathay 777 still sporting the green flashes of Cathay, circa 11 years old and feels it. My major gripe is around service and food and beverage. On such a short circa 3.30 hour flight it was pedantic, why have stellar wine list if staff do not actively ask me if I want a refill let alone ask if I would like any at all. The food was sub par with a tough overcooked steak no coffee service no follow up no greeting and no goodbye.",Solo Leisure,Business Class,November 2023,Boeing 777-300 er,Istanbul to Dubai via Doha,Istanbul,Doha,Dubai,1.0,no
2023-11-18,8.0,10.0,S Barker,United Kingdom,"""Both flights were excellent""",  I was originally booked to fly on Cathay Pacific on 22 October however the flight Melbourne to Hong Kong was delayed by nine hours and I would not make the connection to Manchester. It took Cathay 6 hours to rebook me for the next available day of a direct flight HK to Manchester only for the same thing to happen again. On the second occasion I managed to get re-routed using Qatar Airways and this proved to be a welcome lucky break. Both flights were excellent with decent legroom and comfortable seats. Meals were better than expected and FA were both efficient and friendly. I managed to get some sleep on both flights. During the night FA made several runs through the cabin with drinks and snacks for those who were awake. The Doha to Manchester flight was full with only a few spare seats we left Doha late but that was not a airline problem but that of several large family groups of passengers who had not booked seats together but felt that numerous other passengers should be relocated to enable them to be accommodated in a seating arrangement they deemed acceptable. Flight attendants could have been more forceful in getting passengers into their allocated seats but it took a senior crew member to establish order so we could depart.,Solo Leisure,Economy Class,October 2023,A350 / Boeing 787,Melbourne to Manchester via Doha,Melbourne,Doha,Manchester,1.0,Yes
2023-11-11,2.0,10.0,S Halden,Belgium,"""seats were narrow and uncomfortable""","  This has been my first flight on Qatar in Y class since the onset of the pandemic and it was a huge disappointment. The catering was among the worst I had in a long time. They were not even half way through the cabin, when only one choice of meal was available. The minced beef with mashed potatoes were poor in taste and presentation. Bread rolls were  replaced by corn bread. No butter provided. The service was very slow and finally ended 3.5h after takeoff. The seats were narrow and uncomfortable. Considering the price I’ve paid, and what I got in return, I will not fly Qatar again until it returns to its old standards of service and catering.",Solo Leisure,Economy Class,November 2023,Boeing 787,Brussels to Doha,Brussels,Direct,Doha,1.0,no
2023-11-07,10.0,10.0,RM Sinnott,Australia,"""my favorite airline at the moment""","  I find Qatar Airways to be my favorite airline at the moment. The whole experience from booking to traveling, to end destination is very professional and easy. I had to make changes to my return journey, so I called Qatar (after hours my time), my call was answered straight away, the lady said that she could make change for me (AUD $60) or alternatively I could do it myself online (AUD $11). I chose to change myself online, very easy. As for my flight this week, PER-DOH-LYS, it was great, even though it was in economy, the food was much better that other airlines flown recently. I'll definitely be choosing Qatar where ever possible in the future.",Solo Leisure,Economy Class,November 2023,A380 / Boeing 787,Perth to Lyon via Doha,Perth,Doha,Lyon,0.0,Yes
2023-11-06,9.0,10.0,D Marsen,Sweden,"""Food could be improved""","   Great cabin, seats, crew and service excellent. Food could be improved and red wine shouldn't be served cold. WiFi should be included in the hefty business class fares.",Solo Leisure,Business Class,November 2023,A350-1000,Denpasar to Doha,Denpasar,Direct,Doha,1.0,Yes
2023-11-06,9.0,10.0,D Marsen,Sweden,"""comfort and quality all top""","   Always excellent! Service, friendliness, comfort and quality all top. Pre-orderd food worked this time and i got a juice steak. Wine list excellent. The wines could be taken out and get room temperature after take off so when served not ics cold as now. WiFi should be free for the fairs charged in business class!",Solo Leisure,Business Class,October 2023,Boeing 787-8,Doha to Denpasar,Doha,Direct,Denpasar,1.0,Yes
2023-11-06,9.0,10.0,D Marsen,Sweden,"""an excelent trip""","   Once again an excelent trip with a world class airline. Top greeting, top service, great plane and seats. Food could be a bit better but wine list is excelent. Still think WiFi should be free in business class considering the fairs.",Solo Leisure,Business Class,October 2023,Boeing 787-9,Stockholm to Doha,Stockholm,Direct,Doha,1.0,Yes
2023-11-02,10.0,10.0,Tarig Eltigani,United States,"""flight attendant Erica was amazing""","  I flew on November 2nd Doha to Washington. The flight attendant Erica, who served our aisle was amazing in experience, smiling, and courteously served all types of customers with patience during the whole 14 hours flight.",Solo Leisure,Economy Class,November 2023,A350,Doha to Washington,Doha,Direct,Washington,1.0,Yes
2023-10-31,6.0,10.0,Anders Pedersen,Denmark,"""there were no transfer counters"""," Riyadh to Doha 28-10 2023 on a full, late evening flight. Modern aircraft, A350-900Q. On time. Check-in became a hassle, as there were no transfer counters and I had to shift terminal by arriving with Saudia. I was forced to pay for a transit visa, 150 USD, despite I was never on landside and had only 1 hour transit time. This scrupulous exploitation is unacceptable, just taking advantage of people in rush. QR have no transfer desk nor transfer service in a big international airport to where they are flying several times per day. The good thing is that they, upon my request, at least reopened the check-in counter allowing me to check-in even after the minimum time of 60 minutes had elapsed. A lady behind me was also late, but disallowed to check-in, contrary to me. So, at least I got some premium for my hefty visa fee. Boarding was smooth, despite the flight was fully stuffed apart from an empty seat next to me. No alcohol served onboard with reference to a holy national day in Riyadh. Onboard, served a cold mezze meal, mine was still frozen. Only a single service round, and no service the last full hour prior to landing. Jetbridge provided in both ends. WiFi complicated but not working, a big waste of time trying to connect.",Solo Leisure,Economy Class,October 2023,A350-900Q,Riyadh to Doha,Riyadh,Direct,Doha,1.0,no
2023-10-30,5.0,10.0,Charles Price,France,"""A350 is good and comfortable""","  First time on Qatar using BA miles. I find it hard to understand why this airline is so appreciated. It’s no better than any other. Food is average with hot drinks not being served with breakfast due to the danger of spilling. Half the cabin crew are good and efficient, the other half are not. The A350 is good and comfortable with sufficient legroom, the 787 less so.",Solo Leisure,Economy Class,October 2023,A350 / Boeing 787,Zurich to Lusaka via Doha,Zurich,Doha,Lusaka,1.0,no
2023-10-28,10.0,10.0,Anders Pedersen,Denmark,"""Qatar delivers top notch at times""","  Doha-Kuwait 26 Oct. 2023 on a B777-300. Transit in Doha went well with some testing of their new gold/platinum lounges. The lounges and airport are overstaffed to my taste. To the extend they are about to become intrusive as they have too little to do. Transfer and revised seat selection was easy with new robot machines in the lounges. After the machine reads your passport, you get full overview and can print out new BP yourself. Impressive. Short evening flight, less than 1 hour duration. Huge aircraft, virtually full (300 pax?). Briefly on time. Gate boarding functioned well through division of passengers into 4 zones. I was treated with respect and served excellently. Food and drinks were informed online prior to travel, which had raised my expectations. And, it was all there: served a nice, cold Arabian mezze, nicely prepared and presented in a transparent design box separated in food sections with a spoon fixed elegantly across the sections. Softdrinks numerous, but surprisingly, cava “champagne” was served as well as wine, spirits, and beers. Two catering service rounds in 55 minutes is impressive. Staff competent, focused, polite, and extremely efficient. They gave me 3 seats due to my Privilege status at their FFP. Headset, blankets given. IFE and WiFi functioned well, was given a headset of good quality. Even if I would have been offered a free business class seat, I would not have changed it for my given 69G seat. I have a full appreciation and pleasant experience from this flight and cant fault anything. FA were well groomed, well rested, and in a transmitting, sparkling mood. I spoke Thai with a hostess, Ms. Pisolaya, who was outstanding. Qatar delivers top notch at times, particularly in the air. Well done QR!",Solo Leisure,Economy Class,October 2023,B777-300,doh to kwi,Doha,Direct,Kuwait,1.0,Yes
2023-10-27,9.0,10.0,Richard Ofiera,Germany,"""Thank you for the great experience""","  Flight QR 176 Oslo - Doha 26.10.2023 We took the flight as a part of our trip to Qatar / UAE and Oman. We chose QR as the price was good and as its one of the best airlines. We expected a good flight with a good service but there was one cabin crew member who made this flight to be exceptional. Carina from Portugal was warmhearted, extremely welcoming and caretaking about the passengers. You can see that there are inexperienced new staff and they trying to do their best but Carina is, as you can say a Diamond. We all know that a flight rise or fails with the crew and their performance. Qatar Airways should be happy to have her in the team. Thank you for the great experience. Always happy landings",Family Leisure,Economy Class,October 2023,Boeing 787-9,Oslo to Doha,Oslo,Direct,Doha,0.0,Yes
2023-10-27,9.0,10.0,Alok Mishra,Nepal,"""Overall nice experience""","  The online check in was smooth, airport check in at Kathmandu was too slow, transit at Doha was smooth. Cabin crew on both the flights were friendly, attentive and caring. Meal ordered by me was all nice except the brunch served on Doha-Sao Paulo route. Seats on the Boeing 777 was bit congested and I felt cramped. Legroom too was not enough. Kathmandu - Doha was fine for seats. In flight entertainment was similar on both the flights. One hour complimentary WiFi was made available on Sao Paulo route, which could me made free in its entirety or for some more hours. Toilets were clean and good. Drinks served was good and extra drinks(tea, coffee and cola) were given to me on requests. Overall nice experience! 5 star",Family Leisure,First Class,October 2023,A330-300 /  Boeing 777-200Lr,Kathmandu to Sao Paulo via Doha,Kathmandu,Doha,Sao Paulo,1.0,Yes
2023-10-25,5.0,10.0,Michael Schade,Germany,"""issues on the ground""","   Check in at BKK airport swift and friendly, lounge in BKK topnotch as usual, it’s my favorite lounge within the QR network. Food ex BKK great, service and comfort on the glorious A380 good as always. Transfer at Doha airport disappointing. The booked AlMaha transfer service did not show up at the gate (still waiting for a response from them since this happened for the third time this year!) Lounge very crowded with no chance to have a shower since the waiting time was over an hour and my transit was just 1.5h. Departure gate to Brussels was at one of the dreaded bus gates on the ground level. Chaotic unorganized boarding, with stressed and shouting gate agents. It’s simply no fun to go on a 30 minutes bus ride at 2 am in the morning. Most of my flights to Europe departed from a remote stand this year; that’s not what I expect from a world class airport. Flight to Brussels on a newish B789 with the new suite seating which I find too narrow and feels claustrophobic. Food was average ex Doha. Prior to my departure, I tried to book my meal ex Doha via the app, which did not work. I sent an email to customer service, but was told that that issue got nothing to do with them and therefore won’t be able to assist. No attempt was made to forward my issue to the IT department, or simply letting me pick my meal choice manually. I like flying Qatar, but the issues on the ground and it’s poor customer service are a big letdown and does not justify the premium airfare I’ve paid.",Solo Leisure,Business Class,October 2023,A380 / Boeing 789,Bangkok to Brussels via Doha,Bangkok,Doha,Brussels,1.0,no
